,course_name,course_link,university_name,course_type,university_logo,time_required,course_language,course_subtitles,course_skills,course_rating,category,sub_category,course_level
3970,"Simulation, Algorithm Analysis, and Pointers",https://www.coursera.org/learn/simulation-algorithm-analysis-pointers,University of Colorado System,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/f7/06e620f1a111e38144319a9c8ed320/cu-stand-alone_1_.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 11 hours to complete,English,Subtitles: English,[],4.5stars,Computer Science,Software Development,Beginner Level
3971,Singing Popular Music,https://www.coursera.org/learn/singing-popular-music,Berklee College of Music,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/86/a7cda046f711e7a0d469a7ae562564/Berklee_Logo_Stacked_RGB.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 11 hours to complete,English,Subtitles: English,"['Popular Music', 'Breathing Techniques', 'Belting', 'Music', 'Singing']",4.6stars,Arts and Humanities,Music and Art,Beginner Level
3972,Single Page Web Applications with AngularJS,https://www.coursera.org/learn/single-page-web-apps-with-angularjs,Johns Hopkins University,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/7ae340ec6911e5b395490a2a565172/JHU-Logo-Square-Mini_180px.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 47 hours to complete,English,Subtitles: English,"['Unit Testing', 'JavaScript', 'Angularjs', 'Web Development']",4.9stars,Computer Science,Mobile and Web Development,Intermediate Level
3973,Single Variable Calculus,https://www.coursera.org/learn/discrete-calculus,University of Pennsylvania,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/5e/4003d6fe94ae4089d5daf13129a515/penn-logo.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 14 hours to complete,English,Subtitles: English,[],4.7stars,Math and Logic,Math and Logic,not-mentioned
3974,Sistemas Digitales: De las puertas lógicas al procesador,https://www.coursera.org/learn/sistemas-digitales,Universitat Autònoma de Barcelona,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/17/92e470e1d011e89f11d9841245921d/logo-UAB-quadrat.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 42 hours to complete,Spanish,Subtitles: Spanish,[],not-mentioned,Physical Science and Engineering,Electrical Engineering,not-mentioned
3975,Sistemas agrosilvopastoriles: una alternativa climáticamente inteligente para la ganadería,https://www.coursera.org/learn/sistemas-agrosilvopastoriles,Universidad Nacional Autónoma de México,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/77/0f25406e2711e6b5ae85b51433cf6f/unam.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 10 hours to complete,Spanish,Subtitles: Spanish,[],not-mentioned,Physical Science and Engineering,Environmental Science and Sustainability,Beginner Level
3976,Sistemas operativos y tú: Convertirse en un usuario avanzado,https://www.coursera.org/learn/sistemas-operativos,Crece con Google,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/a8/927acb97d54a768c0c647810a1ae07/Screen-Shot-2019-07-08-at-2.35.16-PM.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 33 hours to complete,Spanish,"Subtitles: Spanish, English, Portuguese (Brazilian), Arabic","['Powershell', 'Linux', 'Interfaz de comandos', 'Sistemas de archivos de Linux']",not-mentioned,Information Technology,Support and Operations,Beginner Level
3977,"Sit Less, Get Active",https://www.coursera.org/learn/get-active,The University of Edinburgh,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/a9/e4018cf6f3036dcc6762b8058a92f1/square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 12 hours to complete,English,"Subtitles: French, Czech, Dutch, Russian, English, Spanish","['Plan', 'goal setting', 'Resource', 'Smart Criteria', 'Confidence']",4.6stars,Personal Development,Personal Development,Beginner Level
3978,Site Reliability Engineering: Measuring and Managing Reliability,https://www.coursera.org/learn/site-reliability-engineering-slos,Google Cloud,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 12 hours to complete,English,"Subtitles: English, Spanish",[],4.5stars,Information Technology,Cloud Computing,Advanced Level
3979,Six Sigma Advanced Analyze Phase,https://www.coursera.org/learn/six-sigma-analyze-advanced,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 6 hours to complete,English,"Subtitles: English, Romanian",[],4.7stars,Business,Leadership and Management,Intermediate Level
